Item Code,Category Code
17-CAP-01,promo-caps
17-CAP-02,promo-caps
17-CAP-03,promo-caps
17-CAP-04,promo-caps
17-CAP-05,promo-caps
17-202-002,promo-jackets
17-202-004,promo-jackets
17-202-005,promo-jackets
17-202-006,promo-jackets
17-202-049,promo-shirts-motul
17-202-050,promo-shirts-motul
17-202-051,promo-shirts-motul
17-MTS-901,promo-shirts-motul
17-MTS-902,promo-shirts-motul
17-MTS-903,promo-shirts-motul
17-MTS-904,promo-shirts-motul
17-MTS-905,promo-shirts-motul
17-MTS-906,promo-shirts-motul
61-PTS-901,promo-shirts-pirelli
61-PTS-902,promo-shirts-pirelli
61-PTS-903,promo-shirts-pirelli
61-PTS-904,promo-shirts-pirelli
61-PTS-905,promo-shirts-pirelli
61-PTS-906,promo-shirts-pirelli
95-082-P03,promo-shirts-arrow
95-082-P04,promo-shirts-arrow
95-082-P05,promo-shirts-arrow
95-082-T01,promo-shirts-arrow
95-082-T02,promo-shirts-arrow
95-082-T03,promo-shirts-arrow
17-200-042,promo-stickers
17-STK-01,promo-stickers
17-STK-02,promo-stickers
17-STK-03,promo-stickers
17-STK-04,promo-stickers
61-STK-01,promo-stickers
61-STK-02,promo-stickers
61-STK-03,promo-stickers
61-STK-11,promo-stickers
61-STK-12,promo-stickers
61-STK-15,promo-stickers
61-STK-16,promo-stickers
95-000-31,promo-stickers
17-201-451,promo-misc
17-201-934,promo-misc
17-201-950,promo-misc
17-202-057,promo-misc
17-940-17,promo-misc
17-LAN-01,promo-misc
17-LAN-02,promo-misc
